stream,topic,sender-id,timestamp,keyword-?,message-word-count,afinn-sentiment,trust,surprise,joy,positive,negative,anticipation,anger,sadness,fear
data-science,What’s the Clojure data science toolkit?,138243,1551068731,false,28,3,5,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,200389,1551075530,false,194,5,31,1,0,0,0,0,0,0,0
data-science,Opportunity,138260,1551079238,true,18,2,0,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138175,1551089024,false,136,8,22,1,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138243,1551147727,true,135,4,20,1,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,201134,1551148567,false,50,1,7,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138262,1551169371,false,32,0,6,0,0,0,0,0,0,0,0
data-science,Opportunity,138175,1551169417,true,52,0,6,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138262,1551169676,false,24,1,5,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138175,1551170172,true,77,-2,13,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138603,1551174344,true,273,9,37,1,0,1,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138603,1551177086,false,13,0,3,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138175,1551178716,false,56,4,10,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,138603,1551179862,false,117,1,25,0,0,0,0,0,0,0,0
data-science,Videos,200490,1551196607,true,11,0,4,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551206611,false,18,0,2,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,139453,1551208165,false,15,2,4,0,0,0,0,0,0,0,0
data-science,Videos,139190,1551212430,true,37,7,5,1,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551216155,false,33,5,8,1,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551221068,false,33,-2,6,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,201134,1551221093,false,385,13,66,4,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551221765,false,363,29,62,0,0,0,0,0,0,0,0
data-science,Videos,200665,1551222116,false,23,0,3,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,138260,1551222439,false,38,2,6,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200497,1551243123,false,36,4,4,0,0,0,0,1,0,0,0
data-science,tech.ml.dataset,138260,1551299994,false,10,0,2,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551302120,false,3,0,0,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,138260,1551310574,false,36,2,6,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551320211,false,17,2,3,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200711,1551341815,true,177,18,33,1,0,0,0,0,0,0,0
data-science,tutorials,138175,1551348326,false,30,3,6,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138175,1551367496,false,45,3,6,0,0,0,0,0,0,0,0
data-science,tutorials,138175,1551367579,false,31,3,8,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200389,1551380541,false,64,3,13,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138175,1551383065,false,9,2,0,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,138175,1551383766,false,103,6,12,1,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551383979,false,33,10,5,3,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551387066,false,12,2,1,0,0,0,0,0,0,0,0
data-science,Deep Learning - from scratch to GPU (dragan.rocks),198968,1551422464,false,38,3,5,0,0,0,0,0,0,0,0
data-science,Deep Learning - from scratch to GPU (dragan.rocks),198968,1551422549,false,9,3,0,1,0,0,0,0,0,0,0
data-science,Deep Learning - from scratch to GPU (dragan.rocks),138603,1551428150,false,1,0,0,0,0,0,0,0,0,0,0
data-science,heart of clojure,138175,1551455726,false,33,2,4,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,203439,1551521815,false,14,3,3,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138175,1551526383,false,20,6,3,0,0,0,0,0,0,0,0
data-science,tutorials,138044,1551578607,false,10,2,3,0,0,0,0,0,0,0,0
data-science,tutorials,138175,1551595481,false,3,0,0,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551648224,false,53,2,7,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,138175,1551648942,false,40,1,9,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551649221,false,115,10,19,2,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,203439,1551710045,true,183,20,38,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,203439,1551710207,false,16,3,1,1,0,0,0,0,0,0,0
data-science,preferred notebook,203439,1551710810,false,137,9,32,0,0,0,0,0,0,0,0
data-science,preferred notebook,138175,1551712770,false,10,0,1,0,0,0,0,0,0,0,0
data-science,preferred notebook,203439,1551719225,true,18,0,2,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1551722599,true,141,3,15,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,139190,1551726873,true,103,7,16,0,0,0,0,0,0,0,0
data-science,preferred notebook,138175,1551730748,true,22,0,3,0,0,0,0,0,0,0,0
data-science,What’s the Clojure data science toolkit?,198968,1551742745,false,49,2,7,0,0,0,0,0,0,0,0
data-science,charts,139453,1551818694,true,141,12,25,1,0,0,0,0,0,0,0
data-science,charts,139453,1551819073,false,40,0,17,0,0,0,0,0,0,0,0
data-science,charts,138260,1551820240,false,7,0,1,0,1,0,0,0,0,0,0
data-science,charts,139453,1551820810,false,23,2,6,0,0,0,0,0,0,0,0
data-science,charts,139453,1551821020,false,6,0,1,0,0,0,0,0,0,0,0
data-science,charts,200665,1551821549,false,13,4,3,0,0,0,0,0,0,0,0
data-science,charts,139453,1551821797,false,38,-2,6,0,0,0,0,0,0,0,0
data-science,charts,138260,1551822902,true,22,0,3,0,0,0,0,0,0,0,0
data-science,charts,139453,1551823049,false,24,0,3,0,0,0,0,0,0,0,0
data-science,charts,138260,1551823112,true,22,0,3,0,0,0,0,0,0,0,0
data-science,charts,139453,1551823705,false,38,1,8,1,0,0,0,0,0,0,0
data-science,charts,201134,1551824563,true,93,5,11,0,0,0,0,0,0,0,0
data-science,charts,201134,1551824633,true,21,4,1,0,0,0,0,0,0,0,0
data-science,charts,139453,1551826060,false,93,3,22,0,0,0,0,0,0,0,0
data-science,charts,139453,1551826315,true,123,2,11,0,0,0,0,0,0,0,0
data-science,charts,139453,1551826327,false,3,0,1,0,0,0,0,0,0,0,0
data-science,charts,201134,1551826339,false,90,6,10,2,0,0,0,0,0,0,0
data-science,charts,201134,1551826467,true,22,5,4,2,0,0,0,0,0,0,0
data-science,charts,138175,1551826540,false,9,0,1,0,0,0,0,0,0,0,0
